단어,명사,관형사 (-é),동사 (-À),부사 (-ùi),"조사, 연결","접사, 어미",비고,어원
--kaim,,,,,"-지, -일지",,,
--nah,,,,,,부정형어미,,
-'l,,,,,= lo,,,
-àd,,,,,,미래시제어미,,
-as,,,,,"은, 는",,,
-às,,,,,,사동형어미,,
-è,,,,,,과거시제어미,,
-èa,,,,,,대과거시제어미,,
-ìa,,,,,,반전형어미,,"자소크어, tia"
-ìc,,,,,,현재시제어미,,
-ìe,,,,,,명사형어미,,
-in,,,,,,"-하는 사람, -하는 것",,
-is,,,,,,복수접미사,,
-òm,,,,,,명령형어미,,
-òme,,,,,,부탁형어미,,
-s,,,,,"= -as, =-is",,,
-ùd,,,,,,욕구형어미,,
-ùh,,,,,,가능형어미,,
-ùie,,,,"-하게, -하도록",,,,
-ùle,,,,,,과정형어미,,
-ùm,,,,,,일반시제어미,,
-ùm,,,,,,일반시제어미,,
-ùn,,,,,,필요형어미,,
-ùque,,,,,,피동형어미,,
-ùquom,,,,,,피동명령형어미,,
-ùsua,,,,,,가정형어미,,
-ùsuia,,,,,,비록형어미,,"자소크어, -usua·tia"
-z,,,,,,확신형어미,,
a,아(자소크어의 첫번째 문자),,,,,,(문장의 처음이나 마지막에 쓰일 때) 말을 늘리는 감탄사,
ä,,,,,,,"이미 언급되었거나 쉽게 알 수 있는 것 앞에 붙이는 관사; (문장의 마지막에 쓰일 때) 말을 늘리는 감탄사, [대화] 응.",
acënt,맹세,맹세하는,맹세하다,,,,,"노 게임 노 라이프, aschente"
acentem,"중심, 가운데",가운데의,,,,,,"영어, center"
acentemoire,"수도, 최대 도시",,,,,,,"자소크어, acentem·hoire"
acentenamyúrgo,주어,,,,,,,"자소크어, acentem·namyúrgo"
acentenamyúrgorisque,주격,,,,,,자소크어 명사의 격,"자소크어, acentem·namyúrgorisque"
acentesosanema,"중앙시간선, 중앙시간띠",,,,,,협정세계시의 중심이 되는 경도선,"자소크어, acentem·sosanema"
ad,,,,,"또한, 그리고",,,"영어, and"
ador,도구,편리한,,,,,,
adras,,,,"아마, 추측컨대",,,,선험
aie,"8, 여덟, 팔",,,,,,,"영어, eight"
aifidom,"불법, 위법, 역법(逆法)",법을 어기는,법을 어기다,"법을 어기게, 법을 어기도록",,,,선험
aikif,나무,,,,,,,선험
aikifudie,열매,,,,,,,"자소크어, aikif·fudie"
aikigrün,"잎, 잎파리, 잎싸귀, 나뭇잎",,,,,,,"자소크어, aikif·grün"
aikipúr,가지(枝),,,,,,,
aikitutayúr,숲,,,,,,,
aimú,상처,,,,,,,"프랑스어, aimer"
ainshtainú,광석,,,,,,,"인명, Einstein"
aital,8월,,,,,,,"자소크어, aie·tal"
äla,,,,,,,[대화] 안녕.,선험
älin,,"움직이는, 옮는, 이동하는","움직이다, 옮다, 이동하다",,,,,선험
älinàs,,"옮기는, 움직이게 하는","옮기다; 움직이다, 움직이게 하다",,,,,"자소크어, älin·às"
älinùlipún,"전염병, 역병",,,,,,,
äliquilas,여권,,,,,,,"자소크어, älin·quilas"
alivaie,동물; 빨강,빨간,,,,,,
alivaifudie,"고기, 육식",,,,,,,"라틴어, alibi"
alivaisuces,주황색,주황색의,,,,,,
alivaivator,"피, 혈액",,,,,,,
alon,사랑,사랑하는,사랑하다,"사랑하게, 사랑하도록",,,,"에스페란토, amo"
alonin,"애인, 연인",,,,,,,
aloshil,가짜,가짜,,,,,,선험?
aloshilam,"닉네임, 별명, 가명, 예명",,,,,,,"자소크어, aloshil·nam"
aloshilinsürta,가정; 가설,,가정(假定)하다,,,,,
aloshisat,꿈,믿어지지 않는,꿈을 꾸다,,,,,
alque,지혜,지혜로운,,,,,,"유기화합물 명명법, alk"
alquvesh,이해,이해하는,이해하다,,,,,"자소크어, alque·vesh"
ame,,,,이미,,,,
ammiras,"인식, (존재의) 확인",인식하는,인식하다,,,,,선험
ammirasapel,무시,무시하는,무시하다,,,,,
animarie,,축하하는,축하하다,"축하하게, 축하하도록",,,,"영어, anniversary"
animaritag,"축일, 기념일",,,,,,,
aniska,,반가워하는,,,,,[인사] 안녕하세요,선험
aniskas,,,,,,,"[인사] 안녕하세요, 안녕하세요들 (많은 사람들에게)","자소크어, aniska·-is"
änon,"구성, 짜임",,"구성하다, 이루다, 짜다",,,,,선험
anroid,,같은,"같은 상태로 있다, 같다",,,,,"이름, Android"
anroidivashalon,동성애,"동성애자인, 동성애의",같은 성별의 사람을 사랑하다,,,,,
anroidivashalonin,동성애자,,,,,,,
anroisholef,걱정,걱정하는,걱정하다,,,,,
anroisiros,이후(以後),,,,,,,
anroisosaque,실시간,실시간의,,,,,,
apel,,통하는,"통하다, 통과하다; 지나다","통하게; 지나게, 지나도록",,,,선험
apeloque,,지나는,지나가다,,,,,
aprat,"[의존] 정도, 만큼",,,,,,,선험
april,낚시,사기치는; 낚는,사기치다; 낚시하다,,,,,"이름, 四月は君の嘘"
aqua,,앉은,앉다,,,,,
aquausin,의자,,,,,,,"자소크어, aquaùque·quorsin"
aque,,"깨는, 서는","깨다(起), 서다(立)",,,,,
aquiksis,,서있는,서있다,,,,,
