'geshtaluatin'		전화기
'or'			나오다
'nanig'			잊다, 망각하다, 까먹다
'aikipúr'			가지
'sazigau'			되돌리다
'mat'			다시
'ysonam'			일씨, 부모님 가족의 이름
'sivú'			은
'narisanroid'		믿음
'az'			~로써
'zigänìe'			상대성
'potúsàsin'		마법 지팡이
'soris'			이전
'ikaluo'			학문
'narisàsuque'		알려지다
'osha'			원
'äliquilas'			여권
'golis'			누나
'kriprepos'			만들어 두다
'paradic'			행진
'rutan'			승차(타다)
'kav'			관련하다
'sôsha'			구
'mitoda'			방법
'shocenin'			강자, 다수자
'zap'			잡다
'úrima'			과도한 진행, 뇌절
'mine'			옹호; 핥다
'eledraviàs'		꺾쇠 <, >
'hashalin'			자동차
'liviaciatashaque'		추운
'itar'			보정, 맞추다
